Efficiency_%,Fitness_Score_%,Combined_Score_%,Battery_V,Load_W
29.0900211100758,15.4745597351046,23.6438365600873,12,70
54.0673646759905,32.6737915356137,45.5099354198398,12,30
66.0563231789007,45.850284670637,57.9739077755952,36,30
54.2194975739646,21.671529800417,41.2003104645456,12,30
51.126390541869,26.2309625867394,41.1682193598172,12,30
50.0845986061872,21.7590058855041,38.7543615179139,24,50
96.822044741225,10.3039238835915,62.2147963981716,36,30
98.2849831810523,38.5407567969077,74.3872926273945,48,10
86.4612992002091,67.5903290821283,78.9129111529768,36,50
48.2231812740363,43.8687260361764,46.4813991788923,24,70
89.8015547617676,21.4438113698369,62.4584574049953,12,30
96.8365416958997,27.4542125866219,69.0836100521885,24,30
54.6200199379882,23.9293139672912,42.3437375497094,48,50
65.5107852340819,18.9037704884808,46.8679793358414,12,50
81.3416916197067,87.5737982191317,83.8345342594767,48,50
85.74809468919,28.6562428870895,62.9113539683498,48,30
61.3797693255272,29.3713237450943,48.5763910933541,24,30
36.0502502555681,15.0397904670311,27.6460663401533,12,70
74.6755653802754,50.021226060187,64.8138296522401,12,10
47.1492319511556,19.5406080267778,36.1057823814045,24,70
74.9045597860983,66.7320659219405,71.6355622404352,48,30
68.874134276243,13.8777184193094,46.8755679334695,24,10
33.919970750641,38.879211090399,35.9036668865442,12,30
89.9304377047271,21.8227993589372,62.6873823664111,24,70
73.2658837771873,17.8117107249284,51.0842145562837,48,10
42.8358230395993,27.2245195133324,36.5913016290925,48,50
53.1821314644694,27.7297853714987,43.0011930272812,24,70
71.7962600933067,25.6662581821057,53.3442593288263,12,30
50.4062805097657,30.7137233556142,42.5292576481051,24,70
97.9367627115295,98.8725915656031,98.3110942531589,36,70
38.6973002418096,19.1407696323703,30.8746879980338,12,70
92.3416913536493,26.8219831413154,66.1338080687157,48,30
88.1205579847091,49.6983631824258,72.7516800637958,48,70
23.6483391653163,19.2881552705958,21.9042656074281,12,50
70.0255703572863,20.937411486442,50.3903068089485,48,70
50.0843051831839,26.4324571379263,40.6235659650809,12,10
46.7219731539685,32.8184896829224,41.1605797655501,36,10
81.7283844760598,26.4233080985674,59.6063539250628,24,10
75.1525775636151,63.266865115238,70.3982925842643,24,70
89.9754596606133,34.9880026092161,67.9804768400544,24,30
78.8285597914601,23.5163400688504,56.7036719024162,12,70
89.3114234641757,37.6264159705487,68.6374204667249,36,10
99.5841769500138,27.0699871650571,70.5785010360311,36,30
80.8395337050593,22.6492498973133,57.5634201819609,12,50
73.2538835892387,34.7842241513281,57.8660198140745,24,50
96.7568031049409,38.309712290074,73.3779667789941,24,10
62.8662607698977,17.9571800292702,44.9026284736467,24,10
72.9487790053307,22.4464147885378,52.7478333186135,12,70
56.43960860391,19.0636665974421,41.4892318013229,24,50
87.7930405746954,19.3485041618879,60.4152260095724,12,70
92.2520172707514,37.0390442185406,70.1668280498671,48,30
85.4352164953933,88.3467665317514,86.5998365099365,48,50
